City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
296,Alofi,NU,84.09,-19.0595,-169.9187,Taloa Heights
297,Cidreira,BR,72.03,-30.1811,-50.2056,Hotel Castelo
300,Warri,NG,75.18,5.5167,5.75,GT Guesthouse
301,Alyangula,AU,84.52,-13.8483,136.4192,Groote Eylandt Lodge
307,Maragogi,BR,78.85,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
309,Campo Grande,BR,71.15,-20.4428,-54.6464,OYO Athenas Apart Hotel
311,Mitsamiouli,KM,81.39,-11.3847,43.2844,Foyer ADM
316,Port Keats,AU,87.8,-14.25,129.55,Kardu Durrikardu Numida Hostel
322,Neiafu,TO,86.68,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
324,Touros,BR,80.65,-5.1989,-35.4608,INN NEW HORIZON
325,Shirgaon,IN,77.7,19.7,72.7,"Samarth Krupa Farm, Palghar"
326,Denpasar,ID,87.46,-8.65,115.2167,OYO 3156 Hotel Warta Dua
328,Kavaratti,IN,79.41,10.5669,72.642,Poddar Sworone
330,Souillac,MU,80.98,-20.5167,57.5167,Shanti Maurice Resort & Spa
331,Labuhan,ID,83.25,-6.8844,112.2051,DoubleFAG
334,Galesong,ID,86.02,-5.3166,119.3661,Sapriadi Appy
335,Omboue,GA,79.25,-1.5746,9.2618,Hotel Olako
336,Sotouboua,TG,78.84,8.5667,0.9833,Auberge Médina
338,Chitrakonda,IN,76.82,18.1167,82.0833,Chitrakonda Nature Camp
339,Grand Gaube,MU,81.37,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
341,Kaitangata,NZ,70.56,-46.2817,169.8464,Kaitangata Motor Camp
343,Merauke,ID,81.73,-8.4667,140.3333,
346,Bubaque,GW,74.21,11.2833,-15.8333,"Casa Dora, Bubaque"
349,Sao Mateus,BR,73.33,-18.7161,-39.8589,Hotel Rio Norte
351,Kirakira,SB,83.88,-10.4544,161.9205,SanBiz Lodge
354,Waiuku,NZ,78.69,-37.25,174.75,Grant's Lodge Motel
357,Ulladulla,AU,85.69,-35.35,150.4667,Sandpiper Motel
358,Praya,CV,72.14,14.9215,-23.5087,LT Aparthotel
361,Honiara,SB,85.93,-9.4333,159.95,Heritage Park Hotel
364,Puerto Colombia,CO,77.09,10.9878,-74.9547,Hotel El Emigrante
365,Iralaya,HN,76.64,15.0,-83.2333,Iglesia morava renovada
368,Vallenar,CL,73.49,-28.5708,-70.7581,Humacao Bed & Breakfast
370,Vanimo,PG,84.2,-2.6741,141.3028,Vahmoneh Lodge Vanimo
372,Mathbaria,BD,77.9,22.2876,89.9593,Shikdar Hotel
373,Geraldton,AU,84.61,-28.7667,114.6,Broadwater Mariner Resort
375,Koungou,YT,74.91,-12.7336,45.2042,Villa Netibor
376,Sao Raimundo Das Mangabeiras,BR,70.84,-7.0219,-45.4811,Hotel Tropical
377,Dwarka,IN,73.17,22.2394,68.9678,Hotel Narayan Avezika Comfort
382,Aracataca,CO,77.29,10.5918,-74.1898,Hostal de los buendia
383,Cockburn Town,TC,76.75,21.4612,-71.1419,Osprey Beach Hotel
385,Mahebourg,MU,81.25,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
389,Vila Velha,BR,75.15,-20.3297,-40.2925,Hotel Vitória Palace
391,Cap Malheureux,MU,81.46,-19.9842,57.6142,Pereybere Hotel & Spa
393,Shakawe,BW,70.47,-18.3667,21.85,EdenWood Guesthouse
394,Sorong,ID,81.25,-0.8833,131.25,Waigo Splash Hotel
398,Oussouye,SN,71.78,12.485,-16.5469,Auberge du Routard
399,Acapulco,MX,80.42,16.8634,-99.8901,HS Hotsson Smart Acapulco
402,Kalmunai,LK,78.39,7.4167,81.8167,VS Villa
403,Dingle,PH,84.54,10.9995,122.6711,SEGAYA PROPERTY
408,East London,ZA,70.74,-33.0153,27.9116,Tu Casa
412,Palauig,PH,83.14,15.435,119.9045,Villa Raphael Resort
413,Kavieng,PG,82.96,-2.5744,150.7967,Nusa Island Retreat
414,Mareeba,AU,81.48,-17.0,145.4333,Trinity Plains Tourist Park
415,Harper,LR,79.05,4.375,-7.7169,Screensaver
418,Namatanai,PG,83.64,-3.6667,152.4333,Seagulls Inn Namatani
421,Rameswaram,IN,79.16,9.2833,79.3,Daiwik Hotels Rameswaram
422,Alto Longa,BR,72.09,-5.2511,-42.2103,pousada E Restaurante Longá
423,Thiruvananthapuram,IN,82.38,8.4833,76.9167,Hotel Residency Tower
427,Daund,IN,76.21,18.4667,74.6,Kende Wada
429,Mkuranga,TZ,73.53,-7.118,39.2078,Amans Ecological farm House in mkuranga
430,Sandakan,MY,85.68,5.8402,118.1179,Hotel Sandakan
431,Porto Novo,BJ,82.22,6.4965,2.6036,Tour Eiffel Hotel Benin
434,Paramonga,PE,73.92,-10.6667,-77.8333,"Av Douglas Stephen, Los Chalets Paramonga, Lima, Perú"
438,Pangkalanbuun,ID,88.43,-2.6833,111.6167,Grand Kecubung Hotel
440,Floriano,BR,73.11,-6.7669,-43.0225,Hotel Maktub
444,Maceio,BR,78.24,-9.6658,-35.7353,Hotel Ponta Verde Maceió
447,Olinda,BR,82.13,-8.0089,-34.8553,Flat Quatro Rodas Olinda
451,Aracati,BR,77.09,-4.5617,-37.7697,Motel Pousada Milleniun - Aracati-CE
453,Mersing,MY,82.31,2.4312,103.8405,Riverside Hotel
457,Bac Lieu,VN,82.33,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
459,Saint-Pierre,RE,81.91,-21.3393,55.4781,Alize Plage
460,Bolobo,CD,74.93,-2.1667,16.2333,Hotel de Stephen
463,Bamako,ML,75.61,12.65,-8.0,Hôtel l’Amitié Bamako
465,Port Blair,IN,82.44,11.6667,92.75,"Welcomhotel By ITC Hotels, Port Blair - Premium Hotel Near the Airport | Idyllic Island Experience Vacation"
467,Burnie,AU,74.95,-41.0667,145.9167,Beachfront Voyager Motor Inn
469,Cayenne,GF,75.24,4.9333,-52.3333,Hôtel Le Dronmi
